ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
1,1,349,1,143,205,2,0
4,3,1474,43,839,596,3,0
0,0,207,1,82,123,1,0
9,3,739,5,595,131,20,0
8,3,1898,20,1276,574,39,0
2,0,325,1,116,207,3,0
2,0,208,0,91,118,1,0
7,3,1731,16,1103,622,0,0
2,0,302,2,179,123,0,0
3,2,1327,29,814,458,31,0
6,5,1167,4,686,468,20,0
4,5,1925,41,871,985,37,0
7,2,793,16,649,135,2,0
46,43,8133,561,1310,5890,461,0
23,36,3154,188,464,2333,228,0
20,36,6784,585,2580,3552,123,0
51,70,7094,115,740,6155,205,0
9,5,1841,34,322,1454,45,0
66,45,6991,2555,1536,2571,440,0
7,7,659,20,143,510,0,0
4,2,1699,44,252,1404,5,0
23,36,4162,1281,817,1868,255,0
2,1,8749,1321,1753,4727,951,0
50,36,6162,760,960,4186,342,0
6,11,269,3,6,276,1,0
36,29,5159,1268,1073,2618,265,0
71,61,7571,1265,920,4669,849,0
50,80,6263,128,698,5436,131,0
28,25,4584,1338,879,2087,333,0
76,83,6379,2525,1052,2293,668,0
17,16,2023,842,305,677,232,0
24,22,5643,1707,1523,2029,430,0
82,74,7232,2644,1966,2336,442,0
90,63,7663,1834,1202,4069,711,0
45,35,7159,2418,1660,2471,690,0
12,13,3926,62,552,3312,25,0
32,29,5448,881,1060,3376,192,0
48,50,5850,1276,1289,3295,88,0
9,6,930,196,100,641,8,0
14,39,3366,216,553,2588,62,0
32,26,3893,873,1204,1751,123,0
31,44,4453,1596,1063,1809,60,0
14,19,3509,645,568,2178,151,0
5,3,919,17,67,840,3,0
3,5,616,0,35,588,1,0
12,22,3461,0,565,2915,15,0
7,9,2239,115,319,1801,20,0
34,38,3364,193,621,2454,168,0
17,36,4476,418,1375,2489,247,0
32,39,5726,870,1094,3563,270,0
71,79,7338,991,1051,4965,481,0
9,9,1546,315,236,957,56,0
26,27,3131,561,324,1954,345,0
68,58,6436,1806,1614,2341,801,0
0,0,0,0,0,0,0,0
76,55,8637,3159,2091,2672,846,0
39,15,4805,1307,1034,2103,415,0
73,57,9052,3337,2225,2860,760,0
17,7,1699,366,407,816,134,0
24,8,5363,1598,1360,1933,504,0
48,58,7382,3256,1363,2031,838,0
73,45,8175,3655,1604,2277,757,0
28,31,779,6,434,384,14,0
8,11,656,84,429,135,27,0
37,18,2534,10,2224,306,49,0
28,10,1043,20,935,126,0,0
14,6,1412,0,1392,40,0,0
49,14,3066,4,2867,229,29,0
32,7,1398,0,1354,83,0,0
76,35,2315,135,1676,572,43,0
10,6,1004,89,512,393,26,0
21,18,1096,0,890,245,0,0
9,7,805,14,797,10,0,0
71,33,2757,218,2135,493,15,0
60,19,2979,44,2829,160,25,0
27,9,1512,0,1528,20,0,0
24,9,1511,0,1527,17,0,0
21,5,1340,0,1314,38,14,0
3,0,214,9,164,42,2,0
37,22,3521,24,3399,151,6,0
14,6,1551,29,1141,278,123,0
38,17,3257,14,2817,447,34,0
32,9,2019,0,1976,84,0,0
20,3,1372,0,1290,55,50,0
38,8,3147,4,3163,26,0,0
57,49,3935,227,2744,1015,55,0
6,1,534,0,520,21,0,0
19,19,1452,2,1420,50,18,0
0,0,69,12,33,23,1,0
23,3,1005,7,987,37,0,0
44,17,2639,55,2540,95,10,0
0,0,74,3,25,42,4,0
27,11,2089,10,2003,80,34,0
48,11,3200,0,3199,60,0,0
25,16,2971,40,2380,476,116,0
35,27,2751,266,1071,1366,110,0
3,0,5475,988,1135,2870,485,0
45,46,4772,595,3230,960,78,0
48,27,3340,39,2699,642,35,0
48,25,3361,251,2356,763,64,0
25,9,4353,107,3938,306,36,0
33,21,3827,21,3694,163,3,0
36,7,2796,12,2508,319,0,0
18,6,1342,5,1275,66,20,0
20,12,1958,25,1420,492,53,0
72,17,1790,1,1828,50,0,0
74,30,4922,90,4307,570,59,0
75,26,2616,0,2367,350,0,0
54,16,1839,0,1792,116,1,0
72,20,2841,7,2352,573,1,0
88,29,3582,30,3221,448,0,0
28,13,1904,105,1615,195,30,0
33,17,2701,15,2430,283,23,0
23,21,2373,0,1798,612,7,0
3,2,366,20,306,43,2,0
40,33,2516,1,1900,658,30,0
35,20,2217,187,1379,624,82,0
53,22,2664,20,2392,251,76,0
27,6,3117,80,2425,635,10,0
33,7,2617,120,1959,548,30,0
6,1,765,61,581,122,8,0
41,13,3837,82,3597,208,4,0
35,4,3509,204,3009,300,35,0
3,0,186,7,112,61,9,0
21,10,2072,48,1559,471,25,0
16,4,1445,25,1023,374,43,0
26,11,2561,35,1798,696,69,0
8,6,864,12,667,187,12,0
24,28,3249,45,2144,1103,9,0
10,5,771,3,727,56,0,0
11,11,1318,112,660,534,34,0
18,11,1855,127,1505,252,0,0
44,11,2550,227,1639,656,83,0
22,9,3122,366,2225,504,58,0
21,16,2467,454,1129,814,107,0
4,3,286,20,133,123,17,0
1,0,41,0,39,3,0,0
28,10,3313,69,2870,351,61,0
75,43,3730,477,2524,704,143,0
33,20,2084,0,2068,69,0,0
6,2,488,10,471,15,0,0
49,30,6931,370,5125,1140,375,0
72,28,7162,871,4984,1234,173,0
1,0,73,0,56,16,2,0
25,35,2026,268,691,987,140,0
94,37,5470,328,3718,1191,364,0
38,21,2837,295,1525,721,355,0
50,19,3066,285,2342,447,61,0
31,15,2358,0,2033,371,0,0
50,34,3097,255,2174,423,329,0
20,22,2441,175,1916,391,1,0
27,10,1182,0,1206,13,0,0
15,15,1829,76,1337,442,4,0
0,0,0,0,0,0,0,0
20,11,2689,68,2341,254,57,0
9,8,1267,45,1174,65,0,0
13,4,528,38,227,255,25,0
11,6,2880,36,1878,846,137,0
0,1,847,75,100,624,49,0
1,0,37,2,5,28,3,0
15,4,1063,0,894,188,0,0
12,6,1215,0,1113,82,38,0
49,37,5456,915,3129,1221,277,0
73,34,3605,483,1988,1045,196,0
0,0,0,0,0,0,0,0
7,6,876,0,599,225,65,0
1,2,585,49,324,195,20,0
57,43,3212,318,1958,717,319,0
6,2,980,87,740,149,12,0
0,0,7,1,4,2,0,0
29,15,3281,0,2399,757,169,0
57,39,5039,452,2394,2008,281,0
0,0,4,0,2,1,1,0
50,14,5143,825,3006,1160,216,0
63,31,6283,371,4018,1702,286,0
55,17,4528,437,3324,749,90,0
18,21,3620,261,1824,1273,301,0
0,0,2,0,1,1,0,0
4,0,136,0,77,63,0,0
13,13,889,76,505,304,30,0
7,1,548,7,499,36,14,0
22,13,1302,172,443,632,90,0
1,0,276,0,259,18,0,0
2,0,141,0,109,33,1,0
33,30,6092,629,2347,2656,523,0
30,25,2293,207,1216,886,39,0
