ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
34,21,1625,780,720,180,0,0
30,11,1514,795,680,80,0,0
26,14,1590,414,1045,166,5,0
21,8,1396,260,960,205,0,0
43,23,2952,814,1776,413,15,0
42,11,2654,1042,987,624,54,0
0,2,83,46,23,16,0,0
71,21,3162,1880,1222,152,0,0
22,5,1995,391,1262,348,21,0
29,4,2462,755,1295,445,0,0
12,0,534,104,299,142,1,0
29,8,2865,1460,1315,117,10,0
4,0,38,15,12,15,0,0
1,0,348,113,187,40,9,0
19,4,972,304,542,126,23,0
53,17,3151,1283,1609,325,4,0
1,1,927,105,598,225,1,0
0,0,18,2,11,5,0,0
16,4,1717,573,824,324,16,0
23,3,674,261,406,33,0,0
2,1,339,245,48,49,0,0
11,2,1296,875,238,185,11,0
36,11,1693,235,716,781,8,0
22,12,1291,0,841,483,1,0
146,149,2039,20,90,1965,259,0
59,8,1210,705,124,326,122,0
76,23,1988,1033,866,158,30,0
54,39,1329,35,445,890,52,0
35,21,2879,740,850,710,635,0
7,1,405,65,92,199,57,0
1,0,21,4,12,6,0,0
24,14,3827,1460,870,1450,85,0
11,4,2301,1143,544,461,168,0
14,3,853,166,291,256,157,0
4,18,544,0,11,538,17,0
4,2,341,156,94,87,10,0
27,8,1999,392,612,782,248,0
71,33,1930,455,489,981,109,0
3,0,53,13,12,29,2,0
26,7,307,51,44,234,11,0
10,4,412,193,155,78,0,0
38,10,1933,940,1016,21,4,0
0,0,7,1,4,2,0,0
0,0,22,0,9,13,0,0
0,0,379,211,37,95,36,0
0,0,2,0,0,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37,17,3129,223,1337,1387,236,0
40,18,2493,664,656,1101,130,0
25,15,3174,1253,515,1344,102,0
0,1,411,148,200,24,40,0
15,11,1690,170,775,740,31,0
11,9,1676,329,678,648,41,0
2,0,261,187,56,20,0,0
29,11,2231,606,636,1025,4,0
0,0,0,0,0,0,0,0
1,0,636,453,134,50,0,0
22,22,5019,1949,1384,1600,130,0
39,15,2291,215,560,1440,130,0
8,5,1242,370,365,505,15,0
10,1,206,85,32,82,18,0
25,11,2473,928,876,563,142,0
0,0,50,0,21,27,2,0
9,1,1345,400,380,475,100,0
0,0,0,0,0,0,0,0
106,52,2590,525,764,1298,161,0
105,66,2274,455,496,1342,152,0
108,58,4136,731,595,2283,693,0
45,37,2988,721,474,939,936,0
95,67,2361,514,64,1630,315,0
50,13,2885,415,1456,945,132,0
48,15,2586,150,1159,1176,164,0
57,33,3458,456,1154,1406,532,0
62,28,3349,305,1505,990,639,0
36,13,1256,191,360,512,242,0
59,18,2333,379,695,918,418,0
48,18,3453,340,1505,1010,664,0
5,0,1451,450,550,230,226,0
18,7,778,140,215,415,33,0
101,33,3698,1295,1469,622,446,0
76,11,1477,476,950,118,20,0
43,9,2773,310,1400,1115,0,0
49,25,2158,60,631,1511,30,0
0,0,0,0,0,0,0,0
10,7,1189,14,375,755,62,0
33,22,2191,196,689,1203,158,0
21,12,1677,125,950,610,25,0
52,45,2302,120,230,1835,214,0
76,27,3713,930,1230,1621,35,0
36,18,1854,145,610,1142,11,0
38,11,3106,690,1240,1100,125,0
72,29,3043,380,1030,1654,80,0
57,44,2442,686,492,1201,164,0
55,30,3652,1236,868,1413,220,0
5,2,297,169,46,75,14,0
0,1,99,9,14,69,8,0
10,9,453,74,72,317,9,0
21,23,2341,169,875,1255,86,0
8,1,228,4,73,118,42,0
19,14,1641,191,580,805,98,0
29,17,1869,610,515,590,200,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,20,6,3,9,2,0
0,1,39,3,20,14,3,0
57,23,1223,80,149,1030,44,0
57,83,2372,173,239,1932,168,0
28,47,1794,58,213,1488,110,0
60,16,744,45,145,615,15,0
53,62,1282,35,60,1240,62,0
94,154,2417,49,85,2396,135,0
58,68,942,0,40,990,38,0
73,64,1804,22,156,1696,67,0
60,37,1225,63,131,1110,18,0
75,76,1760,52,208,1507,144,0
58,63,1454,0,162,1368,45,0
31,47,1007,0,26,915,144,0
8,26,400,0,25,393,16,0
32,23,1375,208,179,1028,15,0
133,152,3426,99,127,3192,293,0
39,18,1780,210,83,1373,171,0
25,44,779,15,25,730,78,0
54,83,1345,4,30,1290,158,0
170,130,2764,279,168,2447,170,0
107,127,3085,0,100,3000,219,0
33,44,694,9,38,710,14,0
59,44,1198,165,69,1025,42,0
59,53,1247,65,55,1215,24,0
82,125,1903,0,60,2025,25,0
80,89,2593,7,148,2427,180,0
48,51,1404,7,92,1303,101,0
0,0,2,0,0,1,1,0
0,0,0,0,0,0,0,0
33,60,1227,4,40,1261,15,0
30,44,1691,20,0,1735,10,0
112,49,4457,275,620,3295,428,0
55,31,2374,180,260,1785,235,0
68,57,2234,170,280,1840,69,0
41,100,1508,25,40,1455,129,0
50,28,2217,180,170,1865,80,0
113,88,2249,15,110,2270,55,0
19,13,1108,20,90,1015,15,0
154,141,3005,55,330,2815,100,0
151,128,2786,65,465,2395,140,0
69,75,1311,0,95,1325,35,0
77,70,4622,465,425,3235,644,0
154,197,2528,80,341,2292,166,0
96,84,1711,17,108,1617,149,0
34,40,835,45,110,690,64,0
101,100,1869,162,111,1530,267,0
84,71,1442,23,152,1215,207,0
87,76,2499,26,203,2235,198,0
59,39,4316,1070,700,2350,294,0
58,76,1714,412,199,983,254,0
70,52,1695,263,476,1007,71,0
117,90,2221,100,389,1785,154,0
43,39,1037,19,3,1064,33,0
39,18,3148,771,657,1335,442,0
50,20,4173,1029,1079,1711,424,0
21,17,2757,895,865,825,210,0
46,43,1265,3,51,1160,140,0
27,18,418,13,43,362,45,0
42,27,1139,72,291,704,141,0
25,36,1144,122,44,991,48,0
51,73,2695,361,243,2173,42,0
73,75,3047,410,305,2410,70,0
61,58,1897,1,138,1797,80,0
33,16,541,20,66,504,0,0
78,62,1723,158,317,1239,149,0
121,85,2730,270,482,2123,61,0
50,41,1524,109,22,1457,27,0
45,46,1158,10,90,1135,14,0
164,97,2249,200,264,1971,75,0
173,162,2550,42,175,2455,213,0
54,55,1482,13,93,1467,18,0
106,122,1347,39,13,1427,96,0
113,117,2687,141,254,2433,89,0
57,57,779,0,62,792,39,0
4,2,0,0,0,0,0,6
0,0,4,1,1,2,0,0
54,48,1228,122,171,1027,10,0
0,0,107,4,18,85,0,0
31,9,2652,982,639,927,144,0
30,42,1865,0,107,1757,73,0
34,48,1602,10,113,1530,31,0
39,42,1616,0,24,1580,93,0
33,48,1251,0,46,1255,31,0
17,49,1597,0,40,1553,70,0
51,90,2781,0,21,2760,141,0
52,71,2505,0,19,2480,129,0
42,51,1512,10,118,1395,82,0
37,50,4033,155,350,3340,275,0
39,35,1585,0,17,1530,112,0
52,69,2637,0,60,2635,63,0
15,10,1454,14,522,744,199,0
71,38,3039,135,340,2309,364,0
23,9,1830,42,1358,391,71,0
39,19,2926,55,1200,1590,139,0
55,31,4704,514,805,2765,706,0
25,11,1408,0,500,905,39,0
13,10,1142,100,320,595,150,0
5,1,0,0,0,0,0,6
11,5,1259,425,85,505,260,0
49,23,2586,111,288,2003,256,0
4,1,1046,116,643,241,51,0
0,0,301,9,26,234,32,0
2,0,58,0,0,60,0,0
88,45,3382,274,426,2648,167,0
45,33,3726,465,540,1720,1079,0
0,0,0,0,0,0,0,0
35,15,2084,125,855,985,169,0
69,41,3788,308,460,2731,399,0
63,28,3946,807,690,2215,325,0
64,31,4343,405,1580,1915,538,0
31,8,2062,138,837,966,160,0
23,15,2700,121,1535,928,154,0
37,16,2335,626,584,1107,71,0
8,5,764,53,501,187,36,0
102,56,3756,135,706,2781,292,0
53,49,1419,30,53,1382,56,0
40,86,1402,40,27,1393,68,0
70,104,2561,176,40,2438,81,0
51,35,1346,65,176,1040,151,0
119,76,3103,283,363,2400,252,0
57,62,2482,299,256,1876,170,0
78,53,1946,36,59,1869,113,0
88,46,3346,454,422,2248,356,0
104,61,2940,65,110,2460,470,0
71,39,1954,160,230,1201,473,0
81,37,2207,240,270,1260,555,0
43,35,1442,80,75,1165,200,0
105,64,3001,650,420,1590,510,0
97,60,3278,255,150,2345,685,0
25,20,2964,627,348,1041,993,0
67,40,3089,809,347,1382,658,0
40,26,3565,803,234,1392,1202,0
55,28,3186,686,633,1408,542,0
18,15,2276,316,113,737,1143,0
0,0,0,0,0,0,0,0
99,53,3618,524,740,1939,567,0
87,74,3219,230,279,2377,494,0
88,91,4043,342,387,2798,695,0
20,11,2129,127,411,589,1033,0
91,43,3749,935,495,1671,782,0
56,27,2402,420,740,1005,320,0
56,39,3355,335,415,1690,1010,0
83,22,3955,609,1197,1832,422,0
114,70,4868,597,711,2517,1227,0
28,24,1488,178,211,903,248,0
81,27,3200,342,1311,1361,294,0
67,27,2681,235,870,1000,670,0
100,51,4208,800,1310,1640,609,0
51,29,1575,255,85,1200,115,0
112,68,4476,1321,634,1560,1141,0
82,51,2891,370,380,1690,584,0
55,16,1854,355,500,885,185,0
0,0,5,0,0,4,1,0
0,0,0,0,0,0,0,0
36,31,3174,166,357,2272,446,0
37,43,3799,132,410,2981,356,0
18,18,1239,10,95,1075,95,0
31,29,2325,120,130,1785,350,0
43,45,3675,118,323,2554,768,0
29,35,2642,252,222,1861,371,0
17,21,2307,30,90,1530,695,0
0,0,0,0,0,0,0,0
22,21,2572,234,315,1569,497,0
23,19,3148,185,505,2000,500,0
0,0,19,2,4,12,1,0
0,0,0,0,0,0,0,0
41,55,2786,260,360,1841,421,0
12,7,2336,405,545,1090,315,0
24,18,2597,350,471,1535,283,0
18,11,3093,320,498,1863,441,0
0,0,89,29,26,29,5,0
6,10,356,46,51,249,26,0
0,0,74,6,5,46,17,0
2,1,501,80,30,320,74,0
88,27,4210,795,455,2700,375,0
106,51,4528,637,594,2688,766,0
133,35,6660,1129,1120,3955,624,0
77,27,3731,605,740,2350,140,0
61,25,2843,722,392,1636,179,0
78,34,3208,115,570,2355,280,0
45,17,2757,520,430,1585,284,0
127,47,4930,1253,423,2755,673,0
46,30,2974,225,205,2375,245,0
27,21,1467,130,220,1115,50,0
14,12,1619,130,75,1320,120,0
72,43,5755,595,1370,2750,1155,0
80,37,5301,278,525,4236,379,0
48,53,3971,161,244,3402,265,0
10,2,612,178,272,158,16,0
45,17,1839,973,682,171,75,0
105,38,2210,1327,574,452,0,0
135,44,1613,645,562,585,0,0
1,6,520,61,73,383,10,0
48,50,5180,390,596,4175,117,0
17,12,928,30,56,779,92,0
163,85,6567,1454,767,4172,422,0
0,0,0,0,0,0,0,0
103,53,2891,318,296,2085,348,0
38,3,653,126,83,435,50,0
39,24,1618,466,205,946,64,0
9,2,338,217,69,63,0,0
8,3,1367,117,721,540,0,0
14,2,2987,425,995,1521,62,0
4,0,350,110,88,151,5,0
56,25,2052,639,377,1062,55,0
0,0,0,0,0,0,0,0
22,5,873,677,49,154,20,0
78,11,1662,1468,143,137,3,0
29,7,921,734,27,191,5,0
9,2,71,44,4,28,6,0
21,5,1253,1135,130,14,0,0
31,8,1931,1780,180,10,0,0
34,11,1039,1046,15,20,3,0
38,11,1836,1705,146,22,12,0
2,3,311,216,78,22,0,0
27,6,1004,1023,0,10,4,0
29,10,1282,1228,82,8,3,0
34,7,737,672,53,38,15,0
19,2,628,533,76,36,4,0
0,1,14,0,10,5,0,0
12,3,796,193,288,286,44,0
52,12,1861,425,995,467,38,0
6,2,595,350,225,24,4,0
41,16,1263,1075,210,35,0,0
47,16,1983,1834,177,35,0,0
0,0,63,1,62,0,0,0
22,4,299,221,101,3,0,0
45,18,1126,1105,59,24,1,0
84,20,2243,2007,263,33,44,0
23,7,1964,1760,199,35,0,0
4,1,370,65,310,0,0,0
35,9,1539,1305,228,50,0,0
49,11,1847,1661,242,4,0,0
75,23,2673,2286,340,107,38,0
24,2,529,551,4,0,0,0
122,42,2215,1315,580,385,99,0
44,16,2958,1852,495,646,25,0
115,37,2359,2022,315,153,21,0
91,29,1993,1802,183,119,9,0
60,19,2284,1832,383,135,13,0
19,4,998,908,59,31,23,0
63,24,2828,2643,220,41,11,0
54,6,3672,2833,571,160,168,0
191,72,2141,1997,270,137,0,0
243,103,1813,1768,195,192,4,0
239,74,1987,1951,225,119,5,0
138,32,2415,1539,545,486,15,0
175,48,2274,2369,72,41,15,0
109,28,1147,1178,26,79,1,0
107,34,1160,1261,33,6,1,0
30,8,1827,1327,505,0,33,0
65,22,3257,2845,230,175,94,0
155,54,5205,4910,365,104,35,0
139,53,2018,1635,205,370,0,0
109,34,2217,1845,385,105,25,0
68,25,2567,2175,355,100,30,0
27,10,4347,3499,516,223,146,0
152,46,3056,2793,373,79,9,0
50,12,1335,1282,93,9,13,0
91,22,3035,2951,164,30,3,0
96,26,2472,2409,134,51,0,0
2,0,131,128,2,3,0,0
7,1,284,265,24,3,0,0
8,5,1227,99,874,267,0,0
12,3,196,36,139,36,0,0
0,0,0,0,0,0,0,0
115,26,3505,1923,998,536,189,0
90,21,2964,1954,653,422,46,0
10,2,1276,423,332,514,19,0
24,8,1487,539,509,439,32,0
49,46,1300,16,128,1112,139,0
65,20,3767,2966,709,174,3,0
19,4,2311,849,935,529,21,0
39,19,1432,355,360,638,137,0
68,29,4462,176,452,3633,298,0
0,0,2,1,1,0,0,0
1,0,107,30,43,35,0,0
0,0,14,0,1,12,1,0
32,7,1705,471,229,953,91,0
0,0,7,2,1,4,0,0
68,16,2265,1922,286,140,1,0
0,0,19,4,7,7,1,0
0,0,4,2,1,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13,2,153,146,12,8,2,0
7,3,296,250,47,8,1,0
21,3,324,306,33,3,6,0
81,30,1737,1040,350,444,14,0
21,11,629,443,82,126,10,0
74,30,3422,2137,710,558,121,0
101,41,3177,2312,557,426,24,0
196,53,4436,2797,568,1001,319,0
101,38,2135,946,586,715,27,0
91,20,3917,2458,672,669,229,0
99,31,2534,1964,228,350,122,0
68,25,2453,827,346,1265,108,0
107,66,2881,685,438,1441,490,0
136,22,3003,2153,488,424,96,0
0,0,16,9,2,1,4,0
2,0,14,5,2,4,5,0
0,0,0,0,0,0,0,0
71,40,2010,877,345,881,18,0
58,37,1770,534,398,918,15,0
86,37,1906,1086,403,456,84,0
53,23,2441,969,719,769,60,0
73,22,3136,1338,1036,781,76,0
75,30,1796,1420,217,257,7,0
58,30,2089,514,509,1069,85,0
55,29,3040,825,935,1195,169,0
41,12,2591,868,895,789,92,0
1,1,193,51,41,96,7,0
55,32,2794,1055,901,925,0,0
24,2,1298,142,848,334,0,0
48,40,2752,506,656,1451,227,0
63,38,2723,507,581,1446,290,0
20,6,1544,250,335,870,115,0
32,8,4110,1490,755,1345,560,0
45,16,3610,672,911,1599,489,0
48,23,4383,1413,765,1967,309,0
11,7,1926,393,575,885,91,0
26,8,2720,945,595,1120,94,0
37,14,2441,499,750,1195,48,0
32,18,2099,541,452,1043,113,0
31,13,3306,680,760,1890,20,0
27,8,2916,665,782,1336,168,0
49,15,3243,922,684,1246,455,0
82,28,5507,2431,1022,1864,300,0
51,20,3944,1665,810,1430,110,0
17,8,2205,822,495,785,128,0
29,12,2700,684,682,1223,152,0
33,8,1795,840,280,641,75,0
23,4,2164,724,533,825,109,0
3,4,678,338,132,125,90,0
1,0,13,5,4,5,0,0
5,3,477,175,139,171,0,0
43,11,2450,771,661,1068,4,0
33,16,2896,990,925,1030,0,0
2,3,70,13,26,35,1,0
5,0,398,82,111,206,4,0
27,4,2169,536,858,785,21,0
11,2,643,43,390,195,28,0
2,1,492,269,132,94,0,0
0,0,3,0,2,1,0,0
67,36,4115,541,562,2384,731,0
0,0,8,1,1,5,1,0
114,52,2721,2092,430,308,57,0
130,61,1372,976,108,396,83,0
38,27,457,428,0,73,21,0
25,15,188,187,0,32,9,0
167,58,2934,2219,276,550,114,0
166,56,2953,2372,208,569,26,0
196,91,2220,1946,297,216,48,0
254,99,3264,2829,137,519,132,0
201,58,2646,2640,115,150,0,0
194,49,2467,1603,293,804,10,0
22,6,443,303,61,106,1,0
43,21,1086,686,141,299,24,0
247,91,2639,2284,186,435,72,0
19,9,595,325,112,186,0,0
31,11,894,659,97,36,144,0
184,55,2349,2096,183,291,18,0
28,8,953,680,162,130,17,0
116,40,1594,1358,216,164,12,0
27,5,190,152,36,29,5,0
1,0,585,203,265,101,17,0
59,22,1344,685,525,170,45,0
0,0,0,0,0,0,0,0
90,57,5729,1693,989,2182,1012,0
87,31,4569,1134,673,2496,384,0
63,29,3419,797,541,1945,228,0
0,0,70,16,12,36,6,0
158,52,4072,3331,518,212,221,0
15,2,760,466,167,78,66,0
161,65,4204,3100,655,495,180,0
119,40,4102,3631,195,368,67,0
203,65,4923,4407,251,465,68,0
35,13,828,660,132,65,19,0
97,37,1766,1434,102,327,37,0
124,41,3517,1345,846,1304,187,0
14,6,467,153,217,103,14,0
223,63,5777,4036,951,976,100,0
19,14,4874,884,1022,2841,160,0
50,11,5490,899,1240,3318,94,0
1,1,109,19,42,49,1,0
41,12,2640,995,741,896,61,0
0,0,0,0,0,0,0,0
80,28,3966,1782,854,1246,192,0
5,2,448,127,76,212,40,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
46,13,1306,126,521,670,48,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
30,14,726,50,258,436,26,0
0,1,792,79,384,328,2,0
0,0,0,0,0,0,0,0
52,22,1783,266,501,972,118,0
22,11,1167,124,494,487,95,0
45,17,1192,140,108,982,24,0
0,0,0,0,0,0,0,0
13,10,137,7,28,117,8,0
12,2,1254,100,480,670,18,0
31,11,1723,67,951,731,16,0
51,33,1298,4,323,1021,34,0
18,11,825,58,262,499,35,0
1,1,102,2,18,81,3,0
9,17,280,0,32,268,6,0
75,83,1668,12,70,1633,111,0
115,53,1437,885,200,475,45,0
99,30,1776,460,470,810,165,0
36,13,531,180,0,400,0,0
48,32,1250,326,55,792,157,0
90,33,2642,966,411,1061,327,0
39,11,999,261,448,319,21,0
266,83,4222,540,1089,2651,291,0
136,38,4079,728,1185,2030,310,0
0,0,9,4,2,3,0,0
75,12,2378,1458,617,176,214,0
6,3,449,246,168,44,0,0
4,1,138,67,58,17,1,0
5,1,289,0,205,89,1,0
24,10,646,429,182,69,0,0
1,0,90,48,25,4,14,0
1,1,85,46,24,4,13,0
36,22,1637,1078,549,67,1,0
130,34,3595,411,585,2316,447,0
41,27,7074,3124,1427,2226,365,0
92,29,1279,750,188,425,37,0
27,8,1167,322,773,106,1,0
5,7,296,83,221,3,1,0
90,20,2363,1062,1086,295,30,0
11,0,664,460,197,17,1,0
30,9,772,722,69,20,0,0
19,1,622,370,255,16,1,0
46,16,1218,210,1040,30,0,0
34,11,1309,516,800,28,10,0
34,9,1235,549,698,23,8,0
28,11,707,489,207,22,28,0
0,0,281,188,50,39,4,0
0,0,0,0,0,0,0,0
125,33,4116,2556,614,654,450,0
0,0,0,0,0,0,0,0
86,41,5746,2448,2209,909,307,0
7,0,373,75,184,52,69,0
4,1,657,182,410,70,0,0
67,26,2990,976,1564,460,83,0
104,39,3911,1874,1888,218,74,0
50,16,2012,317,1537,198,26,0
28,6,1054,43,833,212,0,0
2,2,358,81,219,39,23,0
21,12,3279,1004,1983,255,70,0
57,10,3080,97,2695,306,49,0
54,8,1968,25,1655,325,25,0
137,30,2757,314,1978,606,26,0
12,10,1652,127,1166,264,117,0
16,3,1526,60,1370,115,0,0
61,13,2210,145,1693,438,8,0
73,20,1987,23,1658,364,35,0
80,29,3159,98,2525,624,21,0
62,12,1722,90,1513,193,0,0
4,5,604,55,460,90,8,0
13,1,294,10,267,31,0,0
101,22,2075,171,1446,550,31,0
188,68,2464,312,1164,1170,74,0
33,5,1322,90,885,365,20,0
92,31,3810,641,2693,514,85,0
83,11,876,57,507,383,23,0
82,20,1675,144,1056,563,14,0
360,164,3862,635,890,2681,180,0
43,24,517,4,175,405,0,0
101,5,3487,298,2436,815,44,0
12,3,791,215,270,257,64,0
30,13,944,92,516,306,73,0
21,2,848,402,417,52,0,0
67,9,981,87,827,143,0,0
113,17,3296,476,1379,1435,136,0
9,8,1558,319,714,522,20,0
0,0,0,0,0,0,0,0
6,0,981,101,474,412,0,0
1,0,115,14,82,18,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6,0,256,11,46,192,13,0
2,0,81,61,17,5,0,0
11,12,589,45,273,244,50,0
4,1,82,11,7,69,0,0
1,0,133,12,12,104,6,0
39,17,990,81,434,493,38,0
0,0,0,0,0,0,0,0
0,0,37,0,4,32,1,0
34,19,1146,73,80,1007,39,0
4,1,15,1,14,4,1,0
1,0,201,124,49,16,13,0
13,7,330,9,31,284,26,0
1,0,137,6,46,57,29,0
0,1,1,0,0,1,1,0
1,1,17,3,3,13,0,0
4,4,211,5,19,178,17,0
4,1,125,25,94,11,0,0
2,0,54,17,35,4,0,0
1,3,35,26,10,2,1,0
42,12,944,664,314,16,4,0
2,2,237,29,170,38,4,0
0,0,1934,462,313,1003,156,0
55,7,2398,105,2094,198,63,0
38,5,1639,35,1494,153,0,0
20,12,164,20,114,62,0,0
0,0,0,0,0,0,0,0
0,0,162,108,14,33,7,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
5,1,1023,101,544,364,20,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37,4,2014,23,1752,266,14,0
32,19,2762,808,721,1037,247,0
46,17,2855,501,836,1401,180,0
69,25,4310,1543,1100,1128,633,0
58,36,5084,1778,1676,1104,620,0
23,9,1615,182,794,606,65,0
48,23,2579,825,885,755,185,0
27,8,2035,341,1238,449,42,0
31,9,1158,600,372,204,22,0
8,3,967,219,463,280,16,0
26,12,2311,329,1081,870,69,0
48,13,3041,403,1691,595,413,0
25,15,2868,332,1580,928,68,0
10,3,2223,205,881,1067,83,0
22,7,4531,1450,1695,1315,100,0
17,6,1926,279,654,928,88,0
32,6,2760,257,1945,516,80,0
0,0,82,0,50,31,1,0
46,32,4327,680,1030,2535,160,0
29,16,2802,400,829,1424,194,0
0,0,0,0,0,0,0,0
65,37,3602,1044,559,1243,858,0
32,3,1520,205,890,365,95,0
74,39,4661,725,1920,1655,474,0
58,20,2895,901,659,907,506,0
18,12,378,159,55,194,0,0
22,6,1990,444,898,540,136,0
18,13,2169,7,1380,664,149,0
0,0,5,1,1,2,1,0
12,10,784,207,255,207,137,0
2,0,403,110,130,150,15,0
7,3,647,73,265,287,32,0
6,1,333,23,149,153,15,0
5,1,1414,311,555,419,135,0
1,1,143,16,83,42,4,0
18,4,691,43,542,128,0,0
1,3,33,2,28,7,0,0
1,1,0,1,0,1,0,0
8,4,1694,625,736,295,50,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15,19,2128,300,460,905,497,0
45,25,4305,215,1711,2090,359,0
35,22,1891,147,709,908,184,0
0,0,130,4,59,61,6,0
44,12,3348,210,1636,1245,313,0
32,17,2701,265,1075,1270,140,0
36,17,3537,175,1480,1865,70,0
19,3,1966,178,982,762,66,0
46,26,3912,1458,909,1251,366,0
0,0,0,0,0,0,0,0
22,4,2573,867,941,664,127,0
31,33,2136,137,645,1287,131,0
23,10,2014,123,1033,823,68,0
3,2,264,14,92,163,0,0
11,6,997,123,563,313,15,0
0,0,0,0,0,0,0,0
9,8,364,8,27,331,15,0
7,2,197,42,92,71,1,0
21,6,1527,72,776,635,71,0
5,3,182,6,47,130,7,0
4,0,997,1,494,465,41,0
28,9,1338,66,409,822,78,0
28,11,1635,145,539,917,73,0
46,12,4245,1289,1284,967,763,0
17,17,2122,191,861,653,451,0
35,19,2576,385,1155,980,110,0
20,12,1862,176,628,994,96,0
35,15,2743,398,739,1410,246,0
52,33,2355,205,770,1244,221,0
35,28,5291,1060,702,3044,548,0
0,0,0,0,0,0,0,0
21,5,2745,1509,422,426,414,0
20,10,1515,344,472,580,149,0
26,23,1318,107,189,923,148,0
16,11,1027,98,400,473,83,0
27,10,2250,911,224,662,490,0
15,3,1009,404,128,297,198,0
27,26,3172,509,408,1754,554,0
23,7,1937,642,437,703,185,0
0,0,0,0,0,0,0,0
55,25,3848,574,435,1639,1280,0
8,5,862,181,399,222,73,0
26,25,3433,1236,797,966,485,0
7,10,527,0,275,245,24,0
2,0,174,25,73,69,9,0
7,2,0,3,1,1,2,2
0,0,4,0,1,2,1,0
11,4,715,13,406,295,16,0
52,31,3325,588,437,1579,804,0
30,9,3139,1491,618,744,325,0
0,0,275,10,109,140,16,0
0,0,0,0,0,0,0,0
1,0,124,28,55,16,26,0
11,3,777,14,510,256,11,0
1,0,302,21,141,138,3,0
16,6,1575,173,909,458,57,0
0,0,26,2,15,9,0,0
4,0,121,0,76,42,7,0
2,0,207,42,94,72,1,0
2,0,112,2,8,99,5,0
3,1,241,18,109,111,7,0
0,0,47,3,17,23,4,0
13,6,1063,48,793,216,25,0
6,2,415,12,179,217,15,0
0,0,0,0,0,0,0,0
13,9,1935,396,235,912,414,0
1,1,3316,599,1770,880,69,0
1,0,1727,45,1114,562,7,0
1,1,1926,20,935,943,30,0
2,0,1740,90,789,844,19,0
0,0,119,0,27,92,0,0
0,0,187,0,51,135,1,0
0,0,59,0,13,46,0,0
0,0,125,0,34,90,1,0
0,0,99,0,22,77,0,0
3,1,2269,21,1425,774,53,0
1,1,2352,17,1671,621,45,0
12,3,3484,21,1472,1933,73,0
1,0,2502,45,1807,603,48,0
7,7,747,77,28,650,6,0
2,2,623,84,32,499,12,0
1,1,670,60,11,577,24,0
5,7,983,37,117,782,59,0
1,1,275,0,0,277,0,0
1,1,237,0,0,239,0,0
2,2,390,1,46,322,25,0
12,10,3254,0,293,2957,26,0
5,7,1806,11,130,1655,22,0
17,18,5381,258,591,4445,122,0
9,17,4083,40,566,3418,85,0
34,14,3876,619,552,2506,247,0
0,0,3,1,0,2,0,0
19,7,3129,10,162,2933,50,0
20,11,4552,246,451,3708,178,0
29,20,4368,475,525,3307,110,0
17,5,1407,1,102,1318,8,0
35,25,3859,290,485,2885,259,0
58,31,2512,120,172,2239,70,0
81,29,3975,395,810,2710,170,0
127,65,2400,0,163,2376,53,0
45,16,4438,619,1000,2740,140,0
2,1,507,95,90,240,85,0
54,71,2900,95,435,2390,105,0
37,31,3060,187,281,2487,173,0
14,16,697,40,40,647,0,0
57,59,5753,573,856,4317,123,0
37,18,4260,335,985,2822,173,0
37,33,3654,138,239,3124,223,0
15,18,3293,189,424,2497,216,0
30,13,3860,356,477,2894,176,0
22,18,4295,240,688,3288,119,0
18,15,2073,9,253,1778,66,0
0,0,13,0,1,12,0,0
14,18,3531,252,517,2716,78,0
28,13,4861,701,350,3558,293,0
2,3,472,82,74,302,19,0
4,6,193,29,15,147,12,0
6,7,1963,339,305,1253,79,0
26,13,5748,834,566,3725,662,0
13,14,4335,194,254,3468,446,0
17,8,2620,234,178,1963,270,0
18,25,4376,326,332,3032,729,0
0,0,68,8,4,41,15,0
14,4,2354,229,334,1459,350,0
8,18,4795,390,499,2949,983,0
14,17,3903,220,135,3160,419,0
99,82,4248,223,475,3422,309,0
3,2,787,3,42,731,16,0
6,4,370,26,83,247,24,0
0,0,0,0,0,0,0,0
10,8,2262,60,140,1945,135,0
15,7,2281,650,199,1410,44,0
0,0,178,0,9,169,0,0
2,1,265,0,73,195,0,0
13,6,1576,440,110,1000,45,0
2,4,1850,12,103,1714,27,0
44,51,3651,163,534,2678,371,0
0,4,988,141,89,703,59,0
